Avg_PM10,Rolling_Mean,Rolling_Std,Seasonal_Diff
21.166666666666668,,,
14.833333333333334,,,
25.4,,,
28.8,,,
34.0,,,
30.166666666666668,,,
22.666666666666668,25.29047619047619,6.39275383440514,
20.0,25.123809523809523,6.531879494865912,
23.0,26.29047619047619,4.917343241046387,
24.166666666666668,26.114285714285717,4.976308952793308,
21.166666666666668,25.023809523809526,5.123862630278868,
36.833333333333336,25.428571428571434,5.989850321861717,
43.5,27.333333333333336,9.073771725877469,
37.5,29.452380952380956,9.523224188361786,
25.333333333333332,30.214285714285715,8.828989647805589,
16.5,29.285714285714285,9.980867941603321,
15.833333333333334,28.095238095238095,11.124654444428222,
16.666666666666668,27.452380952380956,11.706564431704583,
27.5,26.119047619047617,10.968268325169209,
25.833333333333332,23.595238095238095,7.907952597588987,
43.166666666666664,24.4047619047619,9.663724237454534,
29.166666666666668,24.952380952380956,9.832257137772613,
15.727272727272727,24.841991341991342,9.946643147966189,
23.833333333333332,25.984848484848488,9.168177519701057,
27.166666666666668,27.484848484848488,8.197063051429788,
27.5,27.48484848484848,8.197063051429788,
25.714285714285715,27.467841682127396,8.201183061243256,
34.833333333333336,26.277365491651203,5.794151477600712,
25.545454545454547,25.760049474335187,5.6531328982713935,
29.5,27.72758194186766,3.6050844186965576,
38.333333333333336,29.799010513296228,4.920380711258738,
31.166666666666668,30.3704390847248,4.794378878847106,
43.333333333333336,32.63234384662956,6.606816274394341,
44.166666666666664,35.268398268398265,7.052655786939018,
29.0,34.435064935064936,7.446275871609589,
21.833333333333332,33.904761904761905,8.271356836417095,
24.833333333333332,33.23809523809524,8.853152369540851,
29.5,31.976190476190474,8.632640776291268,
32.5,32.16666666666667,8.626509529738351,
37.333333333333336,31.309523809523807,7.564799433969841,
43.416666666666664,31.202380952380956,7.354744176704031,
39.166666666666664,32.654761904761905,7.8354649244324035,
28.5,33.607142857142854,6.610302404852427,
23.5,33.41666666666667,6.917335978325538,
31.666666666666668,33.726190476190474,6.759546453273929,
27.333333333333332,32.988095238095234,7.184478603505805,
20.416666666666668,30.571428571428573,8.24599068844141,
33.333333333333336,29.13095238095238,6.272710062994431,
28.833333333333332,27.654761904761905,4.475868571674061,
28.333333333333332,27.63095238095238,4.471063637761174,
25.833333333333332,27.964285714285715,4.189895567639483,
25.5,27.083333333333336,3.921391948634434,
23.333333333333332,26.51190476190476,4.16289511844773,
10.5,25.0952380952381,7.178193019587538,
19.666666666666668,23.142857142857142,6.378079192036932,
24.166666666666668,22.476190476190474,5.910935073163448,
21.5,21.5,5.316814696650513,
26.833333333333332,21.642857142857142,5.464047959692565,
25.25,21.607142857142858,5.435376721610056,
30.166666666666668,22.583333333333336,6.336073968423482,
32.5,25.726190476190478,4.547260644066893,
26.666666666666668,26.726190476190478,3.679495954093542,
16.5,25.63095238095238,5.336339678470765,
38.6,28.073809523809523,6.8339556433627795,
12.181818181818182,25.980735930735932,9.13388933756531,
25.0,25.945021645021647,9.137710745214717,
23.0,24.92121212121212,8.986101399687922,
23.5,23.635497835497834,8.34176739669347,
32.166666666666664,24.42121212121212,8.914238875479475,
31.666666666666668,26.58787878787879,8.501684415108146,
21.166666666666668,24.097402597402596,6.774375870707447,
26.666666666666668,26.166666666666668,4.28174419288841,
30.166666666666668,26.904761904761905,4.487489959606196,
33.5,28.404761904761905,4.713904906857979,
34.0,29.904761904761905,4.561165728652386,
32.333333333333336,29.928571428571434,4.5753538042278965,
29.75,29.654761904761905,4.5108994985162925,
28.333333333333332,30.678571428571427,2.7218375173583955,
17.166666666666668,29.321428571428573,5.745051931281558,
28.0,29.011904761904763,5.750287547445532,
32.0,28.797619047619047,5.580608195410972,
24.333333333333332,27.416666666666664,5.265849092659889,
26.09090909090909,26.524891774891774,4.80264137108197,
28.333333333333332,26.32251082251082,4.67216253093433,
25.166666666666668,25.87012987012987,4.597728518026212,
16.571428571428573,25.78509585652443,4.787128641419114,
10.5,23.28509585652443,7.331188611625068,
13.5,20.642238713667286,6.9926586301143185,
17.833333333333332,19.713667285095855,6.850957402223681,
18.666666666666668,18.653061224489793,6.247219444108978,
25.833333333333332,18.295918367346935,5.643909505092561,
25.666666666666668,18.367346938775512,5.747569356166285,
19.333333333333332,18.76190476190476,5.69832426866881,
28.833333333333332,21.38095238095238,5.476984069481568,
28.75,23.559523809523807,4.812386190504785,
38.333333333333336,26.488095238095237,6.638208107487072,
33.166666666666664,28.559523809523807,6.0247779822537755,
32.0,29.440476190476186,6.01054518651624,
44.666666666666664,32.154761904761905,7.987320474338585,
39.833333333333336,35.083333333333336,6.018297716747427,
34.583333333333336,35.904761904761905,5.3818170747856975,
40.0,37.511904761904766,4.495993219129094,
25.666666666666668,35.70238095238095,6.298121623058405,
28.166666666666668,34.98809523809524,6.889408902544174,
23.333333333333332,33.75,8.17474090652963,
14.833333333333334,29.488095238095237,9.241916960270169,
14.0,25.797619047619047,9.574253807939106,
26.4,24.62857142857143,8.790197161472927,
24.8,22.457142857142856,5.691342166956434,
17.8,21.333333333333336,5.7285186502207255,
18.6,19.966666666666665,4.909137361047303,
17.0,19.061904761904763,4.766799864938935,
18.083333333333332,19.526190476190475,4.432872335501894,
15.0,19.66904761904762,4.236879841776453,
24.5,19.39761904761905,3.7688099675400797,
30.333333333333332,20.188095238095237,5.3424983256702285,
38.166666666666664,23.097619047619048,8.460914650295047,
34.333333333333336,25.3452380952381,9.130284944874592,
32.0,27.48809523809524,8.589456900251037,
34.833333333333336,29.88095238095238,7.8325734180540225,
28.0,31.738095238095237,4.583441557163839,
